id,word,traditional,pinyin,pos,level,lexical_pattern,default_surface_pattern,sandhi_tags,surface_label_needs_clip_review,forvo_url
L3-0487,米,米,mǐ,N,3,3,3,,False,https://forvo.com/word/米/#zh
L3-0488,面对,面對,miànduì,V,3,4-4,4-4,,False,https://forvo.com/word/面对/#zh
L3-0489,面积,面積,miànjī,N,3,4-1,4-1,,False,https://forvo.com/word/面积/#zh
L3-0490,民间,民間,mínjiān,N,3,2-1,2-1,,False,https://forvo.com/word/民间/#zh
L3-0491,民族,民族,mínzú,N,3,2-2,2-2,,False,https://forvo.com/word/民族/#zh
L3-0492,明确,明確,míngquè,Adj/V,3,2-4,2-4,,False,https://forvo.com/word/明确/#zh
L3-0493,明显,明顯,míngxiǎn,Adj,3,2-3,2-3,,False,https://forvo.com/word/明显/#zh
L3-0494,命运,命運,mìngyùn,N,3,4-4,4-4,,False,https://forvo.com/word/命运/#zh
L3-0495,某,某,mǒu,Pron,3,3,3,,False,https://forvo.com/word/某/#zh
L3-0496,母亲,母親,mǔqīn,N,3,3-1,3-1,,False,https://forvo.com/word/母亲/#zh
L3-0497,木头,木頭,mùtou,N,3,4-N,4-N,neutral_tone,False,https://forvo.com/word/木头/#zh
L3-0498,目标,目標,mùbiāo,N,3,4-1,4-1,,False,https://forvo.com/word/目标/#zh
L3-0499,目前,目前,mùqián,N,3,4-2,4-2,,False,https://forvo.com/word/目前/#zh
L3-0500,奶茶,奶茶,nǎichá,N,3,3-2,3-2,,False,https://forvo.com/word/奶茶/#zh
L3-0501,男子,男子,nánzǐ,N,3,2-3,2-3,,False,https://forvo.com/word/男子/#zh
L3-0502,南部,南部,nánbù,N,3,2-4,2-4,,False,https://forvo.com/word/南部/#zh
L3-0503,难道,難道,nándào,Adv,3,2-4,2-4,,False,https://forvo.com/word/难道/#zh
L3-0504,难度,難度,nándù,N,3,2-4,2-4,,False,https://forvo.com/word/难度/#zh
L3-0505,内,內,nèi,N,3,4,4,,False,https://forvo.com/word/内/#zh
L3-0506,内容,內容,nèiróng,N,3,4-2,4-2,,False,https://forvo.com/word/内容/#zh
L3-0507,内心,內心,nèixīn,N,3,4-1,4-1,,False,https://forvo.com/word/内心/#zh
L3-0508,能不能,能不能,néng bu néng,,3,2-N-2,2-N-2,bu_a_not_a;neutral_tone,False,https://forvo.com/word/能不能/#zh
L3-0509,能力,能力,nénglì,N,3,2-4,2-4,,False,https://forvo.com/word/能力/#zh
L3-0510,年初,年初,niánchū,N,3,2-1,2-1,,False,https://forvo.com/word/年初/#zh
L3-0511,年代,年代,niándài,N,3,2-4,2-4,,False,https://forvo.com/word/年代/#zh
L3-0512,年底,年底,niándǐ,N,3,2-3,2-3,,False,https://forvo.com/word/年底/#zh
L3-0513,年纪,年紀,niánjì,N,3,2-4,2-4,,False,https://forvo.com/word/年纪/#zh
L3-0514,念,念,niàn,V,3,4,4,,False,https://forvo.com/word/念/#zh
L3-0515,牛,牛,niú,N,3,2,2,,False,https://forvo.com/word/牛/#zh
L3-0516,农村,農村,nóngcūn,N,3,2-1,2-1,,False,https://forvo.com/word/农村/#zh
L3-0517,农民,農民,nóngmín,N,3,2-2,2-2,,False,https://forvo.com/word/农民/#zh
L3-0518,农业,農業,nóngyè,N,3,2-4,2-4,,False,https://forvo.com/word/农业/#zh
L3-0519,女子,女子,nǚzǐ,N,3,3-3,2-3,third_tone_sandhi,False,https://forvo.com/word/女子/#zh
L3-0520,暖和,暖和,nuǎnhuo,Adj,3,3-N,3-N,neutral_tone,False,https://forvo.com/word/暖和/#zh
L3-0521,怕,怕,pà,Adv,3,4,4,,False,https://forvo.com/word/怕/#zh
L3-0522,拍,拍,pāi,V,3,1,1,,False,https://forvo.com/word/拍/#zh
L3-0523,排,排,pái,V,3,2,2,,False,https://forvo.com/word/排/#zh
L3-0524,排名,排名,páimíng,,3,2-2,2-2,,False,https://forvo.com/word/排名/#zh
L3-0525,牌子,牌子,páizi,N,3,2-N,2-N,neutral_tone,False,https://forvo.com/word/牌子/#zh
L3-0526,派,派,pài,V/N,3,4,4,,False,https://forvo.com/word/派/#zh
L3-0527,判断,判斷,pànduàn,V/N,3,4-4,4-4,,False,https://forvo.com/word/判断/#zh
L3-0528,胖,胖,pàng,Adj,3,4,4,,False,https://forvo.com/word/胖/#zh
L3-0529,跑步,跑步,pǎobù,,3,3-4,3-4,,False,https://forvo.com/word/跑步/#zh
L3-0530,配,配,pèi,V,3,4,4,,False,https://forvo.com/word/配/#zh
L3-0531,配合,配合,pèihé,V,3,4-2,4-2,,False,https://forvo.com/word/配合/#zh
L3-0532,批评,批評,pīpíng,V,3,1-2,1-2,,False,https://forvo.com/word/批评/#zh
L3-0533,批准,批准,pīzhǔn,V,3,1-3,1-3,,False,https://forvo.com/word/批准/#zh
L3-0534,皮,皮,pí,N,3,2,2,,False,https://forvo.com/word/皮/#zh
L3-0535,皮包,皮包,píbāo,N,3,2-1,2-1,,False,https://forvo.com/word/皮包/#zh
L3-0536,啤酒,啤酒,píjiǔ,N,3,2-3,2-3,,False,https://forvo.com/word/啤酒/#zh
L3-0537,票价,票價,piàojià,N,3,4-4,4-4,,False,https://forvo.com/word/票价/#zh
L3-0538,评价,評價,píngjià,V/N,3,2-4,2-4,,False,https://forvo.com/word/评价/#zh
L3-0539,苹果,蘋果,píngguǒ,N,3,2-3,2-3,,False,https://forvo.com/word/苹果/#zh
L3-0540,破,破,pò,Adj/V,3,4,4,,False,https://forvo.com/word/破/#zh
L3-0541,破坏,破壞,pòhuài,V,3,4-4,4-4,,False,https://forvo.com/word/破坏/#zh
L3-0542,普遍,普遍,pǔbiàn,Adj,3,3-4,3-4,,False,https://forvo.com/word/普遍/#zh
L3-0543,普及,普及,pǔjí,V/Adj,3,3-2,3-2,,False,https://forvo.com/word/普及/#zh
L3-0544,期,期,qī,M,3,1,1,,False,https://forvo.com/word/期/#zh
L3-0545,齐,齊,qí,Adj/V,3,2,2,,False,https://forvo.com/word/齐/#zh
L3-0546,其次,其次,qícì,Pron,3,2-4,2-4,,False,https://forvo.com/word/其次/#zh
L3-0547,其实,其實,qíshí,Adv,3,2-2,2-2,,False,https://forvo.com/word/其实/#zh
L3-0548,奇怪,奇怪,qíguài,Adj,3,2-4,2-4,,False,https://forvo.com/word/奇怪/#zh
L3-0549,气候,氣候,qìhòu,N,3,4-4,4-4,,False,https://forvo.com/word/气候/#zh
L3-0550,千万,千萬,qiānwàn,Adv,3,1-4,1-4,,False,https://forvo.com/word/千万/#zh
L3-0551,前后,前後,qiánhòu,N,3,2-4,2-4,,False,https://forvo.com/word/前后/#zh
L3-0552,前进,前進,qiánjìn,V,3,2-4,2-4,,False,https://forvo.com/word/前进/#zh
L3-0553,前面,前面,qiánmiàn,N,3,2-4,2-4,,False,https://forvo.com/word/前面/#zh
L3-0554,前往,前往,qiánwǎng,V,3,2-3,2-3,,False,https://forvo.com/word/前往/#zh
L3-0555,强,強,qiáng,Adj,3,2,2,,False,https://forvo.com/word/强/#zh
L3-0556,强大,強大,qiángdà,Adj,3,2-4,2-4,,False,https://forvo.com/word/强大/#zh
L3-0557,强调,強調,qiángdiào,V,3,2-4,2-4,,False,https://forvo.com/word/强调/#zh
L3-0558,强烈,強烈,qiángliè,Adj,3,2-4,2-4,,False,https://forvo.com/word/强烈/#zh
L3-0559,桥,橋,qiáo,N,3,2,2,,False,https://forvo.com/word/桥/#zh
L3-0560,巧,巧,qiǎo,Adj,3,3,3,,False,https://forvo.com/word/巧/#zh
L3-0561,亲,親,qīn,Adj,3,1,1,,False,https://forvo.com/word/亲/#zh
L3-0562,亲切,親切,qīnqiè,Adj,3,1-4,1-4,,False,https://forvo.com/word/亲切/#zh
L3-0563,亲人,親人,qīnrén,N,3,1-2,1-2,,False,https://forvo.com/word/亲人/#zh
L3-0564,亲自,親自,qīnzì,Adv,3,1-4,1-4,,False,https://forvo.com/word/亲自/#zh
L3-0565,情感,情感,qínggǎn,N,3,2-3,2-3,,False,https://forvo.com/word/情感/#zh
L3-0566,情况,情況,qíngkuàng,N,3,2-4,2-4,,False,https://forvo.com/word/情况/#zh
L3-0567,请教,請教,qǐngjiào,V,3,3-4,3-4,,False,https://forvo.com/word/请教/#zh
L3-0568,庆祝,慶祝,qìngzhù,V,3,4-4,4-4,,False,https://forvo.com/word/庆祝/#zh
L3-0569,球迷,球迷,qiúmí,N,3,2-2,2-2,,False,https://forvo.com/word/球迷/#zh
L3-0570,区,區,qū,N,3,1,1,,False,https://forvo.com/word/区/#zh
L3-0571,区别,區別,qūbié,N/V,3,1-2,1-2,,False,https://forvo.com/word/区别/#zh
L3-0572,取消,取消,qǔxiāo,V,3,3-1,3-1,,False,https://forvo.com/word/取消/#zh
L3-0573,去世,去世,qùshì,V,3,4-4,4-4,,False,https://forvo.com/word/去世/#zh
L3-0574,全场,全場,quánchǎng,N,3,2-3,2-3,,False,https://forvo.com/word/全场/#zh
L3-0575,全面,全面,quánmiàn,Adj,3,2-4,2-4,,False,https://forvo.com/word/全面/#zh
L3-0576,全球,全球,quánqiú,N,3,2-2,2-2,,False,https://forvo.com/word/全球/#zh
L3-0577,缺,缺,quē,V,3,1,1,,False,https://forvo.com/word/缺/#zh
L3-0578,缺点,缺點,quēdiǎn,N,3,1-3,1-3,,False,https://forvo.com/word/缺点/#zh
L3-0579,缺少,缺少,quēshǎo,V,3,1-3,1-3,,False,https://forvo.com/word/缺少/#zh
L3-0580,确保,確保,quèbǎo,V,3,4-3,4-3,,False,https://forvo.com/word/确保/#zh
L3-0581,确定,確定,quèdìng,Adj/V,3,4-4,4-4,,False,https://forvo.com/word/确定/#zh
L3-0582,确实,確實,quèshí,Adj/Adv,3,4-2,4-2,,False,https://forvo.com/word/确实/#zh
L3-0583,裙子,裙子,qúnzi,N,3,2-N,2-N,neutral_tone,False,https://forvo.com/word/裙子/#zh
L3-0584,群,群,qún,M,3,2,2,,False,https://forvo.com/word/群/#zh
L3-0585,热爱,熱愛,rè'ài,V,3,4-4,4-4,,False,https://forvo.com/word/热爱/#zh
L3-0586,热烈,熱烈,rèliè,Adj,3,4-4,4-4,,False,https://forvo.com/word/热烈/#zh
L3-0587,人才,人才,réncái,N,3,2-2,2-2,,False,https://forvo.com/word/人才/#zh
L3-0588,人工,人工,réngōng,N/Adj,3,2-1,2-1,,False,https://forvo.com/word/人工/#zh
L3-0589,人类,人類,rénlèi,N,3,2-4,2-4,,False,https://forvo.com/word/人类/#zh
L3-0590,人民,人民,rénmín,N,3,2-2,2-2,,False,https://forvo.com/word/人民/#zh
L3-0591,人民币,人民幣,rénmínbì,N,3,2-2-4,2-2-4,,False,https://forvo.com/word/人民币/#zh
L3-0592,人群,人群,rénqún,N,3,2-2,2-2,,False,https://forvo.com/word/人群/#zh
L3-0593,人生,人生,rénshēng,N,3,2-1,2-1,,False,https://forvo.com/word/人生/#zh
L3-0594,人员,人員,rényuán,N,3,2-2,2-2,,False,https://forvo.com/word/人员/#zh
L3-0595,认出,認出,rènchū,,3,4-1,4-1,,False,https://forvo.com/word/认出/#zh
L3-0596,认得,認得,rènde,V,3,4-N,4-N,neutral_tone,False,https://forvo.com/word/认得/#zh
L3-0597,认可,認可,rènkě,V,3,4-3,4-3,,False,https://forvo.com/word/认可/#zh
L3-0598,任,任,rèn,V,3,4,4,,False,https://forvo.com/word/任/#zh
L3-0599,任,任,rèn,Conj,3,4,4,,False,https://forvo.com/word/任/#zh
L3-0600,任何,任何,rènhé,Pron,3,4-2,4-2,,False,https://forvo.com/word/任何/#zh
L3-0601,任务,任務,rènwu,N,3,4-N,4-N,neutral_tone,False,https://forvo.com/word/任务/#zh
L3-0602,仍,仍,réng,Adv,3,2,2,,False,https://forvo.com/word/仍/#zh
L3-0603,仍然,仍然,réngrán,Adv,3,2-2,2-2,,False,https://forvo.com/word/仍然/#zh
L3-0604,日常,日常,rìcháng,Adj,3,4-2,4-2,,False,https://forvo.com/word/日常/#zh
L3-0605,容易,容易,róngyì,Adj,3,2-4,2-4,,False,https://forvo.com/word/容易/#zh
L3-0606,如何,如何,rúhé,Pron,3,2-2,2-2,,False,https://forvo.com/word/如何/#zh
L3-0607,散步,散步,sànbù,,3,4-4,4-4,,False,https://forvo.com/word/散步/#zh
L3-0608,沙发,沙發,shāfā,N,3,1-1,1-1,,False,https://forvo.com/word/沙发/#zh
L3-0609,沙子,沙子,shāzi,N,3,1-N,1-N,neutral_tone,False,https://forvo.com/word/沙子/#zh
L3-0610,伤,傷,shāng,V/N,3,1,1,,False,https://forvo.com/word/伤/#zh
L3-0611,伤心,傷心,shāngxīn,,3,1-1,1-1,,False,https://forvo.com/word/伤心/#zh
L3-0612,商品,商品,shāngpǐn,N,3,1-3,1-3,,False,https://forvo.com/word/商品/#zh
L3-0613,商业,商業,shāngyè,N,3,1-4,1-4,,False,https://forvo.com/word/商业/#zh
L3-0614,上来,上來,shànglái,,3,4-2,4-2,,False,https://forvo.com/word/上来/#zh
L3-0615,上面,上面,shàngmiàn,N,3,4-4,4-4,,False,https://forvo.com/word/上面/#zh
L3-0616,上去,上去,shàngqù,,3,4-4,4-4,,False,https://forvo.com/word/上去/#zh
L3-0617,上升,上升,shàngshēng,V,3,4-1,4-1,,False,https://forvo.com/word/上升/#zh
L3-0618,上衣,上衣,shàngyī,N,3,4-1,4-1,,False,https://forvo.com/word/上衣/#zh
L3-0619,设备,設備,shèbèi,N,3,4-4,4-4,,False,https://forvo.com/word/设备/#zh
L3-0620,设计,設計,shèjì,V/N,3,4-4,4-4,,False,https://forvo.com/word/设计/#zh
L3-0621,设立,設立,shèlì,V,3,4-4,4-4,,False,https://forvo.com/word/设立/#zh
L3-0622,社会,社會,shèhuì,N,3,4-4,4-4,,False,https://forvo.com/word/社会/#zh
L3-0623,身份证,身份證,shēnfènzhèng,N,3,1-4-4,1-4-4,,False,https://forvo.com/word/身份证/#zh
L3-0624,深,深,shēn,Adj,3,1,1,,False,https://forvo.com/word/深/#zh
L3-0625,深刻,深刻,shēnkè,Adj,3,1-4,1-4,,False,https://forvo.com/word/深刻/#zh
L3-0626,深入,深入,shēnrù,V/Adj,3,1-4,1-4,,False,https://forvo.com/word/深入/#zh
L3-0627,升,升,shēng,V,3,1,1,,False,https://forvo.com/word/升/#zh
L3-0628,生,生,shēng,Adj,3,1,1,,False,https://forvo.com/word/生/#zh
L3-0629,生产,生產,shēngchǎn,V,3,1-3,1-3,,False,https://forvo.com/word/生产/#zh
L3-0630,生存,生存,shēngcún,V,3,1-2,1-2,,False,https://forvo.com/word/生存/#zh
L3-0631,生动,生動,shēngdòng,Adj,3,1-4,1-4,,False,https://forvo.com/word/生动/#zh
L3-0632,生命,生命,shēngmìng,N,3,1-4,1-4,,False,https://forvo.com/word/生命/#zh
L3-0633,生意,生意,shēngyi,N,3,1-N,1-N,neutral_tone,False,https://forvo.com/word/生意/#zh
L3-0634,生长,生長,shēngzhǎng,V,3,1-3,1-3,,False,https://forvo.com/word/生长/#zh
L3-0635,声明,聲明,shēngmíng,V/N,3,1-2,1-2,,False,https://forvo.com/word/声明/#zh
L3-0636,胜,勝,shèng,V,3,4,4,,False,https://forvo.com/word/胜/#zh
L3-0637,胜利,勝利,shènglì,V/N,3,4-4,4-4,,False,https://forvo.com/word/胜利/#zh
L3-0638,失去,失去,shīqù,V,3,1-4,1-4,,False,https://forvo.com/word/失去/#zh
L3-0639,石头,石頭,shítou,N,3,2-N,2-N,neutral_tone,False,https://forvo.com/word/石头/#zh
L3-0640,石油,石油,shíyóu,N,3,2-2,2-2,,False,https://forvo.com/word/石油/#zh
L3-0641,时,時,shí,N,3,2,2,,False,https://forvo.com/word/时/#zh
L3-0642,时代,時代,shídài,N,3,2-4,2-4,,False,https://forvo.com/word/时代/#zh
L3-0643,时刻,時刻,shíkè,N/Adv,3,2-4,2-4,,False,https://forvo.com/word/时刻/#zh
L3-0644,实际上,實際上,shíjìshàng,Adv,3,2-4-4,2-4-4,,False,https://forvo.com/word/实际上/#zh
L3-0645,实力,實力,shílì,N,3,2-4,2-4,,False,https://forvo.com/word/实力/#zh
L3-0646,实行,實行,shíxíng,V,3,2-2,2-2,,False,https://forvo.com/word/实行/#zh
L3-0647,实验,實驗,shíyàn,V/N,3,2-4,2-4,,False,https://forvo.com/word/实验/#zh
L3-0648,实验室,實驗室,shíyànshì,N,3,2-4-4,2-4-4,,False,https://forvo.com/word/实验室/#zh
L3-0649,食品,食品,shípǐn,N,3,2-3,2-3,,False,https://forvo.com/word/食品/#zh
L3-0650,使,使,shǐ,V,3,3,3,,False,https://forvo.com/word/使/#zh
L3-0651,始终,始終,shǐzhōng,Adv,3,3-1,3-1,,False,https://forvo.com/word/始终/#zh
L3-0652,世纪,世紀,shìjì,N,3,4-4,4-4,,False,https://forvo.com/word/世纪/#zh
L3-0653,世界,世界,shìjiè,N,3,4-4,4-4,,False,https://forvo.com/word/世界/#zh
L3-0654,世界杯,世界杯,shìjièbēi,N,3,4-4-1,4-4-1,,False,https://forvo.com/word/世界杯/#zh
L3-0655,市场,市場,shìchǎng,N,3,4-3,4-3,,False,https://forvo.com/word/市场/#zh
L3-0656,事故,事故,shìgù,N,3,4-4,4-4,,False,https://forvo.com/word/事故/#zh
L3-0657,事件,事件,shìjiàn,N,3,4-4,4-4,,False,https://forvo.com/word/事件/#zh
L3-0658,事实,事實,shìshí,N,3,4-2,4-2,,False,https://forvo.com/word/事实/#zh
L3-0659,事实上,事實上,shìshíshang,,3,4-2-4,4-2-4,,False,https://forvo.com/word/事实上/#zh
L3-0660,事业,事業,shìyè,N,3,4-4,4-4,,False,https://forvo.com/word/事业/#zh
L3-0661,试题,試題,shìtí,N,3,4-2,4-2,,False,https://forvo.com/word/试题/#zh
L3-0662,试验,試驗,shìyàn,V,3,4-4,4-4,,False,https://forvo.com/word/试验/#zh
L3-0663,适合,適合,shìhé,V,3,4-2,4-2,,False,https://forvo.com/word/适合/#zh
L3-0664,适应,適應,shìyìng,V,3,4-4,4-4,,False,https://forvo.com/word/适应/#zh
L3-0665,适用,適用,shìyòng,Adj,3,4-4,4-4,,False,https://forvo.com/word/适用/#zh
L3-0666,室,室,shì,N,3,4,4,,False,https://forvo.com/word/室/#zh
L3-0667,收费,收費,shōufèi,V,3,1-4,1-4,,False,https://forvo.com/word/收费/#zh
L3-0668,收看,收看,shōukàn,V,3,1-4,1-4,,False,https://forvo.com/word/收看/#zh
L3-0669,收听,收聽,shōutīng,V,3,1-1,1-1,,False,https://forvo.com/word/收听/#zh
L3-0670,收音机,收音機,shōuyīnjī,N,3,1-1-1,1-1-1,,False,https://forvo.com/word/收音机/#zh
L3-0671,手续,手續,shǒuxù,N,3,3-4,3-4,,False,https://forvo.com/word/手续/#zh
L3-0672,手指,手指,shǒuzhǐ,N,3,3-3,2-3,third_tone_sandhi,False,https://forvo.com/word/手指/#zh
L3-0673,首都,首都,shǒudū,N,3,3-1,3-1,,False,https://forvo.com/word/首都/#zh
L3-0674,首先,首先,shǒuxiān,Adv,3,3-1,3-1,,False,https://forvo.com/word/首先/#zh
L3-0675,受,受,shòu,V,3,4,4,,False,https://forvo.com/word/受/#zh
L3-0676,受伤,受傷,shòushāng,,3,4-1,4-1,,False,https://forvo.com/word/受伤/#zh
L3-0677,书架,書架,shūjià,N,3,1-4,1-4,,False,https://forvo.com/word/书架/#zh
L3-0678,输,輸,shū,V,3,1,1,,False,https://forvo.com/word/输/#zh
L3-0679,输入,輸入,shūrù,V,3,1-4,1-4,,False,https://forvo.com/word/输入/#zh
L3-0680,熟人,熟人,shúrén,N,3,2-2,2-2,,False,https://forvo.com/word/熟人/#zh
L3-0681,属,屬,shǔ,V,3,3,3,,False,https://forvo.com/word/属/#zh
L3-0682,属于,屬於,shǔyú,V,3,3-2,3-2,,False,https://forvo.com/word/属于/#zh
L3-0683,束,束,shù,M,3,4,4,,False,https://forvo.com/word/束/#zh
L3-0684,数量,數量,shùliàng,N,3,4-4,4-4,,False,https://forvo.com/word/数量/#zh
L3-0685,双,雙,shuāng,M/Adj,3,1,1,,False,https://forvo.com/word/双/#zh
L3-0686,双方,雙方,shuāngfāng,N,3,1-1,1-1,,False,https://forvo.com/word/双方/#zh
L3-0687,思想,思想,sīxiǎng,N,3,1-3,1-3,,False,https://forvo.com/word/思想/#zh
L3-0688,死,死,sǐ,V/Adj,3,3,3,,False,https://forvo.com/word/死/#zh
L3-0689,速度,速度,sùdù,N,3,4-4,4-4,,False,https://forvo.com/word/速度/#zh
L3-0690,随,隨,suí,V,3,2,2,,False,https://forvo.com/word/随/#zh
L3-0691,所,所,suǒ,N/M,3,3,3,,False,https://forvo.com/word/所/#zh
L3-0692,所长,所長,suǒzhǎng,N,3,3-3,2-3,third_tone_sandhi,False,https://forvo.com/word/所长/#zh
L3-0693,台,台,tái,N/M,3,2,2,,False,https://forvo.com/word/台/#zh
L3-0694,谈,談,tán,V,3,2,2,,False,https://forvo.com/word/谈/#zh
L3-0695,谈话,談話,tánhuà,,3,2-4,2-4,,False,https://forvo.com/word/谈话/#zh
L3-0696,谈判,談判,tánpàn,V/N,3,2-4,2-4,,False,https://forvo.com/word/谈判/#zh
L3-0697,汤,湯,tāng,N,3,1,1,,False,https://forvo.com/word/汤/#zh
L3-0698,糖,糖,táng,N,3,2,2,,False,https://forvo.com/word/糖/#zh
L3-0699,特色,特色,tèsè,N,3,4-4,4-4,,False,https://forvo.com/word/特色/#zh
L3-0700,提前,提前,tíqián,V,3,2-2,2-2,,False,https://forvo.com/word/提前/#zh
L3-0701,提问,提問,tíwèn,V,3,2-4,2-4,,False,https://forvo.com/word/提问/#zh
L3-0702,题目,題目,tímù,N,3,2-4,2-4,,False,https://forvo.com/word/题目/#zh
L3-0703,体会,體會,tǐhuì,V/N,3,3-4,3-4,,False,https://forvo.com/word/体会/#zh
L3-0704,体现,體現,tǐxiàn,V,3,3-4,3-4,,False,https://forvo.com/word/体现/#zh
L3-0705,体验,體驗,tǐyàn,V,3,3-4,3-4,,False,https://forvo.com/word/体验/#zh
L3-0706,天空,天空,tiānkōng,N,3,1-1,1-1,,False,https://forvo.com/word/天空/#zh
L3-0707,甜,甜,tián,Adj,3,2,2,,False,https://forvo.com/word/甜/#zh
L3-0708,调,調,tiáo,V,3,2,2,,False,https://forvo.com/word/调/#zh
L3-0709,调整,調整,tiáozhěng,V,3,2-3,2-3,,False,https://forvo.com/word/调整/#zh
L3-0710,跳,跳,tiào,V,3,4,4,,False,https://forvo.com/word/跳/#zh
L3-0711,跳高,跳高,tiàogāo,V,3,4-1,4-1,,False,https://forvo.com/word/跳高/#zh
L3-0712,跳舞,跳舞,tiàowǔ,,3,4-3,4-3,,False,https://forvo.com/word/跳舞/#zh
L3-0713,跳远,跳遠,tiàoyuǎn,V,3,4-3,4-3,,False,https://forvo.com/word/跳远/#zh
L3-0714,铁,鐵,tiě,N,3,3,3,,False,https://forvo.com/word/铁/#zh
L3-0715,铁路,鐵路,tiělù,N,3,3-4,3-4,,False,https://forvo.com/word/铁路/#zh
L3-0716,听力,聽力,tīnglì,N,3,1-4,1-4,,False,https://forvo.com/word/听力/#zh
L3-0717,听众,聽眾,tīngzhòng,N,3,1-4,1-4,,False,https://forvo.com/word/听众/#zh
L3-0718,停止,停止,tíngzhǐ,V,3,2-3,2-3,,False,https://forvo.com/word/停止/#zh
L3-0719,通常,通常,tōngcháng,Adj,3,1-2,1-2,,False,https://forvo.com/word/通常/#zh
L3-0720,通信,通信,tōngxìn,,3,1-4,1-4,,False,https://forvo.com/word/通信/#zh
L3-0721,同意,同意,tóngyì,V,3,2-4,2-4,,False,https://forvo.com/word/同意/#zh
L3-0722,痛,痛,tòng,Adj,3,4,4,,False,https://forvo.com/word/痛/#zh
L3-0723,痛苦,痛苦,tòngkǔ,Adj,3,4-3,4-3,,False,https://forvo.com/word/痛苦/#zh
L3-0724,头,頭,tóu,Adj,3,2,2,,False,https://forvo.com/word/头/#zh
L3-0725,头脑,頭腦,tóunǎo,N,3,2-3,2-3,,False,https://forvo.com/word/头脑/#zh
L3-0726,突出,突出,tūchū,Adj/V,3,1-1,1-1,,False,https://forvo.com/word/突出/#zh
L3-0727,突然,突然,tūrán,Adj,3,1-2,1-2,,False,https://forvo.com/word/突然/#zh
L3-0728,图,圖,tú,N,3,2,2,,False,https://forvo.com/word/图/#zh
L3-0729,图画,圖畫,túhuà,N,3,2-4,2-4,,False,https://forvo.com/word/图画/#zh
L3-0730,土,土,tǔ,N,3,3,3,,False,https://forvo.com/word/土/#zh
L3-0731,团,團,tuán,N/M,3,2,2,,False,https://forvo.com/word/团/#zh
L3-0732,团结,團結,tuánjié,V,3,2-2,2-2,,False,https://forvo.com/word/团结/#zh
L3-0733,团体,團體,tuántǐ,N,3,2-3,2-3,,False,https://forvo.com/word/团体/#zh
L3-0734,推动,推動,tuīdòng,,3,1-4,1-4,,False,https://forvo.com/word/推动/#zh
L3-0735,推广,推廣,tuīguǎng,V,3,1-3,1-3,,False,https://forvo.com/word/推广/#zh
L3-0736,推进,推進,tuījìn,V,3,1-4,1-4,,False,https://forvo.com/word/推进/#zh
L3-0737,推开,推開,tuīkāi,,3,1-1,1-1,,False,https://forvo.com/word/推开/#zh
L3-0738,退,退,tuì,V,3,4,4,,False,https://forvo.com/word/退/#zh
L3-0739,退出,退出,tuìchū,V,3,4-1,4-1,,False,https://forvo.com/word/退出/#zh
L3-0740,退休,退休,tuìxiū,,3,4-1,4-1,,False,https://forvo.com/word/退休/#zh
L3-0741,外交,外交,wàijiāo,N,3,4-1,4-1,,False,https://forvo.com/word/外交/#zh
L3-0742,外面,外面,wàimiàn,N,3,4-4,4-4,,False,https://forvo.com/word/外面/#zh
L3-0743,外文,外文,wàiwén,N,3,4-2,4-2,,False,https://forvo.com/word/外文/#zh
L3-0744,完美,完美,wánměi,Adj,3,2-3,2-3,,False,https://forvo.com/word/完美/#zh
L3-0745,完善,完善,wánshàn,Adj/V,3,2-4,2-4,,False,https://forvo.com/word/完善/#zh
L3-0746,完整,完整,wánzhěng,Adj,3,2-3,2-3,,False,https://forvo.com/word/完整/#zh
L3-0747,玩具,玩具,wánjù,N,3,2-4,2-4,,False,https://forvo.com/word/玩具/#zh
L3-0748,往往,往往,wǎngwǎng,Adv,3,3-3,2-3,third_tone_sandhi,False,https://forvo.com/word/往往/#zh
L3-0749,危害,危害,wēihài,V/N,3,1-4,1-4,,False,https://forvo.com/word/危害/#zh
L3-0750,危险,危險,wēixiǎn,Adj/N,3,1-3,1-3,,False,https://forvo.com/word/危险/#zh
L3-0751,为,為,wéi,V,3,2,2,,False,https://forvo.com/word/为/#zh
L3-0752,为,為,wéi,Prep,3,2,2,,False,https://forvo.com/word/为/#zh
L3-0753,围,圍,wéi,V,3,2,2,,False,https://forvo.com/word/围/#zh
L3-0754,伟大,偉大,wěidà,Adj,3,3-4,3-4,,False,https://forvo.com/word/伟大/#zh
L3-0755,卫生,衛生,wèishēng,Adj/N,3,4-1,4-1,,False,https://forvo.com/word/卫生/#zh
L3-0756,卫生间,衛生間,wèishēngjiān,N,3,4-1-1,4-1-1,,False,https://forvo.com/word/卫生间/#zh
L3-0757,为了,為了,wèile,Prep,3,4-N,4-N,neutral_tone,False,https://forvo.com/word/为了/#zh
L3-0758,温暖,溫暖,wēnnuǎn,Adj/V,3,1-3,1-3,,False,https://forvo.com/word/温暖/#zh
L3-0759,文化,文化,wénhuà,N,3,2-4,2-4,,False,https://forvo.com/word/文化/#zh
L3-0760,文件,文件,wénjiàn,N,3,2-4,2-4,,False,https://forvo.com/word/文件/#zh
L3-0761,文明,文明,wénmíng,N/Adj,3,2-2,2-2,,False,https://forvo.com/word/文明/#zh
L3-0762,文学,文學,wénxué,N,3,2-2,2-2,,False,https://forvo.com/word/文学/#zh
